,Name,Sector,Company stage,HQ location,homepage_url,category_list,city
20166,Inspirotec, Health Care ,Seed/Startup,USA,http://inspirotec.com,|Health Care|,Chicago
43572,University of Virginia, Education ,Seed/Startup,USA,http://virginia.edu,|Education|,Charlottesville
41904,Tiny Lab Productions, Games ,Seed/Startup,LTU,http://www.tinylabproductions.com/,|Games|,Kaunas
19340,Ikanos, Software ,Seed/Startup,USA,http://www.ikanos.com,|Software|,Fremont
7915,Chorus, Enterprise Software ,Seed/Startup,USA,http://www.getchorus.com,|Enterprise Software|,San Francisco
29209,On Top Of The Tech World,,Seed/Startup,USA,http://www.ontopofthetechworld.com,,Pittsburgh
14161,Ezeecube, Contact Management ,Seed/Startup,HKG,http://www.ezeecube.com/,|Contact Management|,
13088,Energesis Pharmaceuticals,,Seed/Startup,USA,http://www.energesispharma.com,,Cambridge
41788,TickPick, Concerts ,Seed/Startup,USA,http://www.tickpick.com,|Sports|Concerts|Ticketing|Games|,New York
5205,BitAnimate, Software ,Seed/Startup,,http://bitanimate.com,|Software|,
17904,Hashdoc, Content ,Seed/Startup,JOR,http://www.hashdoc.com,|Content|Knowledge Management|Consulting|Curated Web|,
33885,RECESS.,,Seed/Startup,USA,http://recess.is,,Santa Monica
30769,People Sports, Games ,Seed/Startup,ESP,http://people-sports.com,|Games|,Madrid
32760,Provista Diagnostics, Biotechnology ,Seed/Startup,USA,http://www.provistadx.com,|Biotechnology|,New York
4891,bigtincan, Mobile ,Seed/Startup,USA,http://www.bigtincan.com,|Mobile|,Boston
150,ARTEA,,ScaleUp/Mature,EU,,,
4310,Base79, Music ,Seed/Startup,FRA,http://www.base79.com,|Sports|Music|Entertainment|Television|Mobile|Video Streaming|Video|Advertising|,Paris
6050,BrandWatch Technologies, Security ,Seed/Startup,USA,http://brandwatchtech.com,|Security|,Portland
3935,AwesomePiece, Games ,Seed/Startup,KOR,http://www.awesomepiece.com,|Games|,Seoul
25501,Metaset,,Seed/Startup,,http://www.themetaset.com,,
47692,Zulu, Software ,Seed/Startup,USA,http://www.zulu-inc.com,|Software|,San Jose
13769,Everpay, Finance ,Seed/Startup,CAN,http://www.everpayinc.com/,|Venture Capital|Finance|,Montréal
7410,Celladon, Biotechnology ,Seed/Startup,USA,http://www.celladon.net,|Biotechnology|,La Jolla
25801,Mind Lab, Education ,Seed/Startup,BRA,http://www.mindlab.com.br,|Education|,São Paulo
33808,Realeyes, Analytics ,Seed/Startup,GBR,http://www.realeyesit.com,|Advertising|Video|Analytics|,London
1384,AFG Media, Fashion ,Seed/Startup,,,|Fashion|,
32206,Preparis, Software ,Seed/Startup,USA,http://www.preparis.com,|Software|,Atlanta
